id,gene_symbol,gene_name,entrez_gene_id,homologene_group_id
45331,2310007J06Rik,RIKEN cDNA 2310007J06 gene,69489,
51414,2310007L24Rik,RIKEN cDNA 2310007L24 gene,75573,19138
45391,2310009B15Rik,RIKEN cDNA 2310009B15 gene,69549,19923
42217,2310011J03Rik,RIKEN cDNA 2310011J03 gene,66374,11959
45466,2310014F06Rik,RIKEN cDNA 2310014F06 gene,69625,
120428,2310014L17Rik,RIKEN cDNA 2310014L17 gene,381845,78604
45405,2310015B20Rik,RIKEN cDNA 2310015B20 gene,69563,
45941,2310015D24Rik,RIKEN cDNA 2310015D24 gene,70100,
52284,2310016D23Rik,RIKEN cDNA 2310016D23 gene,76443,
45420,2310016G11Rik,RIKEN cDNA 2310016G11 gene,69578,
42210,2310022A10Rik,RIKEN cDNA 2310022A10 gene,66367,35272
45393,2310022B05Rik,RIKEN cDNA 2310022B05 gene,69551,13120
42795,2310030G06Rik,RIKEN cDNA 2310030G06 gene,66952,12059
43705,2310033P09Rik,RIKEN cDNA 2310033P09 gene,67862,11485
86572,2310035C23Rik,RIKEN cDNA 2310035C23 gene,227446,10834
44386,2310036O22Rik,RIKEN cDNA 2310036O22 gene,68544,11428
42944,2310039H08Rik,RIKEN cDNA 2310039H08 gene,67101,87029
45470,2310039L15Rik,RIKEN cDNA 2310039L15 gene,69629,
46125,2310040G07Rik,RIKEN cDNA 2310040G07 gene,70284,
120396,2310040G24Rik,RIKEN cDNA 2310040G24 gene,381792,
48209,2310045N01Rik,RIKEN cDNA 2310045N01 gene,72368,47492
45498,2310047D07Rik,RIKEN cDNA 2310047D07 gene,69657,
47769,2310047K21Rik,RIKEN cDNA 2310047K21 gene,71928,
47764,2310047M10Rik,RIKEN cDNA 2310047M10 gene,71923,41183
42376,2310050C09Rik,RIKEN cDNA 2310050C09 gene,66533,104374
43562,2310057J18Rik,RIKEN cDNA 2310057J18 gene,67719,82613
44119,2310057M21Rik,RIKEN cDNA 2310057M21 gene,68277,11793
51535,2310058D17Rik,RIKEN cDNA 2310058D17 gene,75694,
45503,2310061I04Rik,RIKEN cDNA 2310061I04 gene,69662,17027
45502,2310061N02Rik,RIKEN cDNA 2310061N02 gene,69661,130759
50025,2310065F04Rik,RIKEN cDNA 2310065F04 gene,74184,
47788,2310067B10Rik,RIKEN cDNA 2310067B10 gene,71947,8831
52296,2310067E19Rik,RIKEN cDNA 2310067E19 gene,76455,
45500,2310069G16Rik,RIKEN cDNA 2310069G16 gene,69659,
45540,2310079G19Rik,RIKEN cDNA 2310079G19 gene,69699,
45053,2310081J21Rik,RIKEN cDNA 2310081J21 gene,69211,
160869,2410002F23Rik,RIKEN cDNA 2410002F23 gene,668661,105477
42264,2410004B18Rik,RIKEN cDNA 2410004B18 gene,66421,11968
49508,2410004P03Rik,RIKEN cDNA 2410004P03 gene,73667,77698
45063,2410006H16Rik,RIKEN cDNA 2410006H16 gene,69221,
47820,2410012M07Rik,RIKEN cDNA 2410012M07 gene,71979,67036
86180,2410015M20Rik,RIKEN cDNA 2410015M20 gene,224904,17699
47793,2410016O06Rik,RIKEN cDNA 2410016O06 gene,71952,11366
